Country,ConvertedCompYearly,RemoteWork,YearsCodePro,Employment,LanguageHaveWorkedWith,AISelect,SalaryCategory,ExperienceLevel
Brazil,4476.0,"Hybrid (some remote, some in-person)",1,"Student, part-time;Employed, part-time",C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Yes,Low,Junior
Brazil,12122.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Cobol;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift;VBA,Yes,Low,Semi Senior
Brazil,39162.0,Remote,11,"Employed, full-time",C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Medium,Senior
Brazil,14229.0,Remote,5,"Employed, full-time",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"No, and I don't plan to",Low,Semi Senior
Brazil,20141.0,Remote,4,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Yes,Medium,Semi Senior
Mexico,5175.0,Remote,Less than 1 year,"Employed, full-time;Student, full-time",C;HTML/CSS;Java;JavaScript;Python;Rust,"No, and I don't plan to",Low,Unknown
Brazil,74595.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,Yes,High,Senior
Brazil,22378.0,"Hybrid (some remote, some in-person)",10,"Employed, full-time",Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Senior
Mexico,16173.0,Remote,3,"Employed, full-time",C;C#;C++;SQL;Swift;Visual Basic (.Net),Yes,Low,Semi Senior
Chile,21663.0,In-person,2,"Employed, full-time",C++;JavaScript;Python;Rust,"No, and I don't plan to",Medium,Junior
Brazil,27973.0,In-person,10,"Employed, full-time;Student, part-time",C;C#;C++;HTML/CSS;Java;JavaScript;Python,Yes,Medium,Senior
Brazil,13427.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",C;C++;Python,"No, and I don't plan to",Low,Semi Senior
Brazil,26108.0,Remote,13,"Employed, full-time",C++;HTML/CSS;Java;JavaScript;Python,Yes,Medium,Senior
Brazil,12000.0,Remote,8,"Independent contractor, freelancer, or self-employed",C;C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Senior
Brazil,13987.0,Remote,8,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Solidity;SQL;TypeScript,Yes,Low,Senior
Colombia,15140.0,"Hybrid (some remote, some in-person)",13,"Employed, full-time",Dart;Go;Java;JavaScript;PHP;Python;SQL,"No, and I don't plan to",Low,Senior
Brazil,11562.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);Python;R;SQL;VBA,Yes,Low,Semi Senior
Brazil,27973.0,"Hybrid (some remote, some in-person)",7,"Employed, full-time",C#;GDScript;HTML/CSS;JavaScript;PHP;Python;R;SQL,Yes,Medium,Senior
Argentina,72000.0,Remote,7,"Employed, full-time",HTML/CSS;JavaScript;Python;SQL,Yes,High,Senior
Brazil,37297.0,In-person,2,"Employed, full-time",C#;Dart;HTML/CSS;SQL,Yes,Medium,Junior
Uruguay,104861.0,Remote,5,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;GDScript;Java;JavaScript;PHP;Python;R;Rust;SQL;TypeScript,Yes,High,Semi Senior
Brazil,44757.0,Remote,8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Python,Yes,Medium,Senior
Brazil,6714.0,Remote,2,"Employed, full-time",C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Junior
Brazil,44757.0,Remote,5,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,Yes,Medium,Semi Senior
Brazil,22378.0,Remote,5,"Employed, full-time;Student, part-time",Bash/Shell (all shells);C#;JavaScript;TypeScript,Yes,Medium,Semi Senior
Brazil,76646.0,Remote,14,"Employed, full-time",Elixir;Erlang;HTML/CSS;JavaScript,Yes,High,Senior
Argentina,115000.0,Remote,13,"Employed, full-time",Elixir;JavaScript;Ruby;TypeScript,Yes,High,Senior
Brazil,30770.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);C;C#;C++;Java;SQL,Yes,Medium,Semi Senior
Argentina,60000.0,Remote,9,"Employed, full-time",Go;JavaScript;TypeScript,Yes,High,Senior
Brazil,23497.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Yes,Medium,Semi Senior
Brazil,67881.0,"Hybrid (some remote, some in-person)",12,"Employed, full-time",Elixir;HTML/CSS;Ruby,"No, and I don't plan to",High,Senior
Brazil,22378.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",Bash/Shell (all shells);Python;R;Scala;SQL,"No, and I don't plan to",Medium,Semi Senior
Mexico,16173.0,"Hybrid (some remote, some in-person)",7,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Senior
Argentina,24000.0,Remote,3,"Employed, full-time",Python,Yes,Medium,Semi Senior
Chile,45492.0,In-person,4,"Employed, full-time;Independent contractor, freelancer, or self-employed",Python;R;SQL,Yes,Medium,Semi Senior
Brazil,30211.0,Remote,14,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Colombia,32803.0,Remote,13,"Employed, full-time",C#;HTML/CSS;JavaScript;SQL,"No, but I plan to soon",Medium,Senior
Argentina,116393.0,Remote,14,"Employed, full-time",Groovy;Java;JavaScript;Lua;Perl;Python;Ruby;Rust;SQL,Yes,High,Senior
Brazil,65271.0,Remote,12,"Employed, full-time",Go;Java;JavaScript,"No, but I plan to soon",High,Senior
Colombia,43401.0,Remote,20,"Employed, full-time",Java;SQL,"No, but I plan to soon",Medium,Senior
Brazil,11189.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;SQL;TypeScript,"No, and I don't plan to",Low,Semi Senior
Brazil,10070.0,In-person,10,"Employed, full-time",C#;HTML/CSS;Python;SQL;TypeScript,"No, and I don't plan to",Low,Senior
Argentina,46557.0,"Hybrid (some remote, some in-person)",11,"Independent contractor, freelancer, or self-employed",C#;Go;JavaScript;PHP;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,37297.0,Remote,18,"Employed, full-time",Java,Yes,Medium,Senior
Brazil,73849.0,Remote,8,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);GDScript;HTML/CSS;Java;JavaScript;Julia;Kotlin;MATLAB;PowerShell;Python;SQL;TypeScript,Yes,High,Senior
Uruguay,96600.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,High,Semi Senior
Brazil,55946.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",C#;Elixir,"No, and I don't plan to",Medium,Senior
Brazil,33568.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;Java;JavaScript;Python;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,21260.0,In-person,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;Go;Rust;Solidity;SQL;Visual Basic (.Net),"No, and I don't plan to",Medium,Semi Senior
Brazil,51284.0,"Hybrid (some remote, some in-person)",15,"Employed, full-time",Java;Python,Yes,Medium,Senior
Brazil,82987.0,Remote,3,"Employed, full-time;Student, part-time",Elixir;SQL,Yes,High,Semi Senior
Argentina,45600.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Clojure;Java;PHP;Python;Ruby;SQL;Visual Basic (.Net),"No, and I don't plan to",Medium,Senior
Brazil,24243.0,Remote,24,"Employed, full-time",Java;PHP;PowerShell;Python;SQL,Yes,Medium,Senior
Peru,23765.0,Remote,3,"Employed, full-time",JavaScript;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,12495.0,In-person,11,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Yes,Low,Senior
Brazil,26108.0,Remote,6,"Employed, full-time",Dart;Kotlin;SQL;Swift,Yes,Medium,Semi Senior
Colombia,2019.0,"Hybrid (some remote, some in-person)",13,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,"No, and I don't plan to",Low,Senior
Mexico,17413.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Yes,Low,Semi Senior
Peru,11091.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,Yes,Low,Semi Senior
Brazil,33568.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;SQL;TypeScript,Yes,Medium,Semi Senior
Argentina,130000.0,Remote,13,"Employed, full-time",TypeScript,Yes,High,Senior
Colombia,42392.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Yes,Medium,Senior
Brazil,18522.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Bash/Shell (all shells);C;C++;Python,"No, and I don't plan to",Low,Semi Senior
Argentina,61100.0,"Hybrid (some remote, some in-person)",13,"Employed, full-time",Java;JavaScript;TypeScript,Yes,High,Senior
Colombia,27888.0,Remote,8,"Employed, full-time",HTML/CSS;JavaScript;Python;TypeScript,Yes,Medium,Senior
Brazil,13054.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time;Student, part-time",Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Yes,Low,Semi Senior
Brazil,14546.0,In-person,2,"Employed, full-time",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;Python;R;SQL;VBA,Yes,Low,Junior
Uruguay,93000.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;Python;TypeScript,Yes,High,Semi Senior
Brazil,30770.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",C#;Dart;HTML/CSS;JavaScript;SQL,"No, but I plan to soon",Medium,Senior
Argentina,27000.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,"No, and I don't plan to",Medium,Semi Senior
Argentina,31038.0,"Hybrid (some remote, some in-person)",12,"Employed, full-time",Go;Java;Kotlin;SQL,Yes,Medium,Senior
Brazil,27973.0,Remote,6,"Employed, full-time",C#,Yes,Medium,Semi Senior
Brazil,20514.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",Elixir;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Medium,Semi Senior
Chile,1300.0,Remote,11,"Employed, full-time",C;C#;C++;HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Senior
Brazil,15273.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);Lua;Python,"No, but I plan to soon",Low,Senior
Mexico,1186.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",C#;HTML/CSS;Java;JavaScript;Python;TypeScript,Yes,Low,Semi Senior
Uruguay,26986.0,"Hybrid (some remote, some in-person)",1,"Employed, full-time;Student, part-time",C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Medium,Junior
Mexico,10674.0,Remote,5,"Independent contractor, freelancer, or self-employed;Employed, part-time",HTML/CSS;TypeScript,"No, but I plan to soon",Low,Semi Senior
Mexico,53909.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",C;C++;Objective-C,Yes,Medium,Senior
Colombia,87812.0,"Hybrid (some remote, some in-person)",12,"Employed, full-time",Go;Java;Kotlin;Scala,Yes,High,Senior
Colombia,70000.0,Remote,12,"Employed, full-time",Elixir;Erlang;JavaScript;Kotlin;SQL,Yes,High,Senior
Brazil,29092.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Semi Senior
Colombia,13626.0,Remote,1,"Employed, full-time",JavaScript;PowerShell,Yes,Low,Junior
Brazil,72693.0,Remote,9,"Employed, full-time",Kotlin,Yes,High,Senior
Brazil,22378.0,Remote,8,"Employed, full-time",Elixir;HTML/CSS;JavaScript;Kotlin;Python,Yes,Medium,Senior
Chile,32495.0,"Hybrid (some remote, some in-person)",10,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;R;TypeScript,Yes,Medium,Senior
Brazil,242433.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C++;Groovy;PowerShell;Python,Yes,High,Senior
Brazil,4476.0,Remote,3,"Employed, full-time",HTML/CSS;Java;JavaScript;Python;SQL,Yes,Low,Semi Senior
Brazil,33568.0,Remote,34,"Employed, full-time",Bash/Shell (all shells);C#;Python;SQL,"No, and I don't plan to",Medium,Senior
Argentina,120000.0,Remote,11,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;Ruby;Solidity;TypeScript,Yes,High,Senior
Mexico,20000.0,Remote,1,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Junior
Brazil,14360.0,Remote,4,"Employed, full-time",JavaScript;Swift;TypeScript,"No, and I don't plan to",Low,Semi Senior
Argentina,40000.0,Remote,4,"Employed, full-time",JavaScript;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,4923.0,In-person,1,"Employed, full-time",C;C#;Delphi;SQL,Yes,Low,Junior
Brazil,8485.0,Remote,3,"Employed, full-time;Student, full-time",Dart;GDScript;Java;Python;Swift,Yes,Low,Semi Senior
Brazil,18649.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",C++;Python,"No, but I plan to soon",Low,Semi Senior
Brazil,180000.0,Remote,8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go;HTML/CSS;JavaScript;SQL;TypeScript,"No, but I plan to soon",High,Senior
Brazil,24616.0,Remote,15,"Employed, full-time",JavaScript;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Argentina,10000.0,In-person,2,"Employed, full-time;Student, part-time",HTML/CSS;JavaScript;Python,Yes,Low,Junior
Mexico,32345.0,Remote,10,"Employed, full-time",,Yes,Medium,Senior
Mexico,1256.0,In-person,10,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Senior
Colombia,76962.0,Remote,19,"Employed, full-time",Bash/Shell (all shells);Groovy;Java;SQL,"No, but I plan to soon",High,Senior
Brazil,111892.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,High,Semi Senior
Brazil,34314.0,"Hybrid (some remote, some in-person)",7,"Employed, full-time",Bash/Shell (all shells);Python;SQL,Yes,Medium,Senior
Brazil,110000.0,Remote,8,"Employed, full-time",Elixir,Yes,High,Senior
Brazil,20887.0,Remote,28,"Employed, full-time",HTML/CSS;Java;JavaScript;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,3133.0,"Hybrid (some remote, some in-person)",1,"Student, part-time;Employed, part-time",Dart;Java;SQL,Yes,Low,Junior
Brazil,63219.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;F#;Haskell;Python;SQL;TypeScript,"No, and I don't plan to",High,Semi Senior
Mexico,19407.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,"No, but I plan to soon",Low,Semi Senior
Brazil,46622.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",JavaScript;Python,Yes,Medium,Semi Senior
Brazil,17903.0,Remote,7,"Employed, full-time",JavaScript;TypeScript,"No, and I don't plan to",Low,Senior
Colombia,17411.0,"Hybrid (some remote, some in-person)",3,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL,Yes,Low,Semi Senior
Argentina,60968.0,"Hybrid (some remote, some in-person)",28,"Employed, full-time",Dart;HTML/CSS;Java;JavaScript;SQL,Yes,High,Senior
Brazil,10257.0,In-person,6,"Employed, full-time;Student, part-time",HTML/CSS;JavaScript;PHP;R;Ruby;SQL,"No, and I don't plan to",Low,Semi Senior
Peru,29659.0,Remote,2,"Employed, full-time",C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Junior
Mexico,9811.0,In-person,5,"Employed, full-time",C#;HTML/CSS;JavaScript;Python;VBA,"No, but I plan to soon",Low,Semi Senior
Brazil,38043.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",Java;JavaScript;Python;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,18649.0,Remote,17,"Employed, full-time",Bash/Shell (all shells);SQL,"No, and I don't plan to",Low,Senior
Mexico,8625.0,In-person,4,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Semi Senior
Mexico,3235.0,"Hybrid (some remote, some in-person)",1,"Employed, full-time;Independent contractor, freelancer, or self-employed",Apex;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL;TypeScript,"No, and I don't plan to",Low,Junior
Uruguay,45029.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,"No, and I don't plan to",Medium,Semi Senior
Brazil,33568.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript;VBA;Visual Basic (.Net),Yes,Medium,Senior
Brazil,36365.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Bash/Shell (all shells);Python;R;SQL,"No, and I don't plan to",Medium,Semi Senior
Brazil,39722.0,Remote,10,"Employed, full-time",Python,Yes,Medium,Senior
Brazil,4662.0,Remote,22,"Employed, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript,Yes,Low,Senior
Brazil,22378.0,Remote,15,"Employed, full-time",C;C++;Delphi;Go;HTML/CSS;JavaScript;MicroPython;Python;SQL;TypeScript,Yes,Medium,Senior
Brazil,7832.0,"Hybrid (some remote, some in-person)",10,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,Low,Senior
Brazil,22378.0,Remote,14,"Independent contractor, freelancer, or self-employed",C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;R;Rust;SQL;TypeScript,Yes,Medium,Senior
Argentina,16000.0,In-person,4,"Employed, full-time",Java;Python;SQL,Yes,Low,Semi Senior
Brazil,67135.0,Remote,7,"Employed, full-time",HTML/CSS;JavaScript;Python,"No, but I plan to soon",High,Senior
Brazil,140000.0,Remote,8,"Employed, full-time",Ruby,Yes,High,Senior
Brazil,121217.0,Remote,18,"Employed, full-time",Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Yes,High,Senior
Colombia,2258.0,Remote,12,"Employed, full-time",C++;Clojure;Cobol;Dart;Go;Groovy;Kotlin;MATLAB;PHP;R;Ruby;Scala;VBA;Visual Basic (.Net),"No, but I plan to soon",Low,Senior
Argentina,40000.0,Remote,15,"Independent contractor, freelancer, or self-employed",C;C++;Python,"No, and I don't plan to",Medium,Senior
Brazil,22550.0,Remote,5,"Employed, full-time",JavaScript;Python;TypeScript,Yes,Medium,Semi Senior
Argentina,36000.0,Remote,29,"Independent contractor, freelancer, or self-employed",C;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;TypeScript;Visual Basic (.Net),"No, and I don't plan to",Medium,Senior
Brazil,42892.0,"Hybrid (some remote, some in-person)",20,"Employed, full-time",Bash/Shell (all shells);C;Go;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Medium,Senior
Mexico,29111.0,Remote,2,"Employed, full-time;Student, full-time",Python;R,Yes,Medium,Junior
Colombia,25233.0,Remote,3,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Go;Python,Yes,Medium,Semi Senior
Brazil,74160.0,Remote,10,"Employed, full-time",C;HTML/CSS;JavaScript;Rust;SQL;TypeScript,Yes,High,Senior
Uruguay,250000.0,"Hybrid (some remote, some in-person)",30,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;JavaScript;Rust;SQL,Yes,High,Senior
Argentina,40000.0,Remote,4,"Employed, full-time;Student, full-time",C++;Java;JavaScript;MATLAB;Python;SQL,Yes,Medium,Semi Senior
Brazil,35806.0,Remote,20,"Employed, full-time",JavaScript;TypeScript,Yes,Medium,Senior
Brazil,100000.0,Remote,12,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,Yes,High,Senior
Brazil,74595.0,"Hybrid (some remote, some in-person)",9,"Employed, full-time;Independent contractor, freelancer, or self-employed",C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Yes,High,Senior
Mexico,48518.0,"Hybrid (some remote, some in-person)",16,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Mexico,37736.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Chile,75821.0,Remote,6,"Employed, full-time",Python;R;SQL,Yes,High,Semi Senior
Uruguay,91000.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript,Yes,High,Senior
Brazil,18649.0,In-person,8,"Employed, full-time",Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Yes,Low,Senior
Brazil,22360.0,Remote,3,"Employed, full-time",Java;Python;TypeScript,Yes,Medium,Semi Senior
Brazil,16970.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",C;C#;Java;PHP;TypeScript;VBA,Yes,Low,Semi Senior
Brazil,16784.0,Remote,5,"Employed, full-time",GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Yes,Low,Semi Senior
Brazil,91165.0,Remote,8,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,High,Senior
Brazil,21291.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Yes,Medium,Senior
Colombia,30280.0,In-person,12,"Employed, full-time",HTML/CSS;JavaScript;Python,Yes,Medium,Senior
Peru,87000.0,Remote,12,"Independent contractor, freelancer, or self-employed",Python,Yes,High,Senior
Mexico,70000.0,Remote,18,"Employed, full-time",C;C#;C++,"No, but I plan to soon",High,Senior
Brazil,90000.0,Remote,8,"Employed, full-time",HTML/CSS;JavaScript;Ruby,Yes,High,Senior
Argentina,66000.0,Remote,22,"Employed, full-time",HTML/CSS;Java;JavaScript;PHP;Scala;SQL;TypeScript,Yes,High,Senior
Brazil,1865.0,Remote,Less than 1 year,"Student, part-time;Employed, part-time",Java;Python,Yes,Low,Unknown
Mexico,17251.0,In-person,7,"Employed, full-time",C#;HTML/CSS;JavaScript,Yes,Low,Senior
Mexico,48518.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",C#;Dart;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Yes,Medium,Senior
Brazil,36365.0,Remote,32,"Employed, part-time",Dart,"No, but I plan to soon",Medium,Senior
Mexico,25876.0,Remote,2,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,Medium,Junior
Uruguay,70000.0,Remote,12,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL;TypeScript,Yes,High,Senior
Brazil,70000.0,Remote,15,"Employed, full-time",C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;Solidity;SQL;Swift,Yes,High,Senior
Mexico,51213.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",HTML/CSS;JavaScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,102572.0,Remote,12,"Employed, full-time",C#;HTML/CSS;Java;JavaScript;Lua;PHP;Prolog;Python;SQL;TypeScript,Yes,High,Senior
Brazil,7273.0,In-person,Less than 1 year,"Employed, full-time",C#;HTML/CSS;JavaScript,Yes,Low,Unknown
Argentina,125000.0,Remote,15,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,Yes,High,Senior
Argentina,144000.0,Remote,15,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python;Ruby,"No, but I plan to soon",High,Senior
Brazil,167838.0,Remote,22,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Yes,High,Senior
Argentina,137000.0,Remote,19,"Employed, full-time",Bash/Shell (all shells);Go;Ruby,Yes,High,Senior
Brazil,8358.0,In-person,5,"Employed, full-time;Student, part-time",HTML/CSS;JavaScript;Ruby;TypeScript,Yes,Low,Semi Senior
Brazil,80000.0,Remote,30,"Employed, full-time",C++;Delphi,"No, but I plan to soon",High,Senior
Brazil,15982.0,Remote,6,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,93244.0,Remote,14,"Employed, full-time",Java,Yes,High,Senior
Brazil,55946.0,Remote,18,"Employed, full-time;Student, part-time",Assembly;Bash/Shell (all shells);C;Delphi;Go;HTML/CSS;MATLAB;Python;SQL,"No, but I plan to soon",Medium,Senior
Mexico,41315.0,Remote,26,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,Yes,Medium,Senior
Mexico,32345.0,Remote,9,"Employed, full-time",HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Medium,Senior
Colombia,9690.0,"Hybrid (some remote, some in-person)",1,"Employed, full-time",JavaScript,Yes,Low,Junior
Chile,34661.0,Remote,4,"Employed, full-time",C#;C++,"No, and I don't plan to",Medium,Semi Senior
Brazil,40281.0,Remote,,"Employed, full-time",Bash/Shell (all shells);C#;C++;Dart;Go;HTML/CSS;JavaScript;Python;SQL,Yes,Medium,Senior
Brazil,44757.0,Remote,13,"Employed, full-time",Bash/Shell (all shells);MATLAB;Python,Yes,Medium,Senior
Mexico,6469.0,In-person,1,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,Low,Junior
Brazil,27973.0,Remote,5,"Employed, full-time",Java;JavaScript;Kotlin;SQL,"No, but I plan to soon",Medium,Semi Senior
Colombia,4719.0,Remote,11,"Employed, full-time",Java;Kotlin,Yes,Low,Senior
Brazil,44757.0,Remote,8,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Groovy;Python,Yes,Medium,Senior
Brazil,5595.0,Remote,10,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Low,Senior
Colombia,39364.0,Remote,10,"Employed, full-time",JavaScript;Python;TypeScript,Yes,Medium,Senior
